"sep=,"
"Export items"
" "
Account,Item,"Item number",SKU,Manufacturer,Supplier,"Label alcohol","Units per item",Unit,"Items per case","Total quantity"
"Well Crafted Wine & Beverage Co.","Alella Mayla 2022",17772,SPA1139,,,11.50,750.000,ml,12,14.000
"Well Crafted Wine & Beverage Co.","Alella Mayla 2024",28732,SPA1139,,,11.50,750.000,ml,12,600.000
"Well Crafted Wine & Beverage Co.","Alella Mayla NV",20569,SPA1139,,,11.50,750.000,ml,12,106.000
"Well Crafted Wine & Beverage Co.","Alfaro Family Vineyards A  Estate Chardonnay 2020",17992,CAL1004,,,,750.000,ml,12,51.000
"Well Crafted Wine & Beverage Co.","Alfaro Family Vineyards A  Estate Chardonnay 2021",20145,CAL1004,,,,750.000,ml,12,117.000
"Well Crafted Wine & Beverage Co.","Alfaro Family Vineyards A Estate Pinot Noir 2022",25633,CAL1006,,,13.50,750.000,ml,12,2.000
"Well Crafted Wine & Beverage Co.","Alfaro Family Vineyards A Estate Pinot Noir 2024",29130,CAL1006,,,13.50,750.000,ml,12,316.000
"Well Crafted Wine & Beverage Co.","Alfaro Family Vineyards A Estate Syrah 2019",15617,CAL1005,,,13.50,750.000,ml,12,4.000
"Well Crafted Wine & Beverage Co.","Alfaro Family Vineyards A Estate Syrah 2021",20144,CAL1005,,,13.50,750.000,ml,12,53.000
"Well Crafted Wine & Beverage Co.","Alfaro Family Vineyards A Estate Syrah 2023",30405,CAL1005,,,13.50,750.000,ml,12,60.000
"Well Crafted Wine & Beverage Co.","Alfaro Family Vineyards Bates Ranch Cabernet Sauvignon 2019",29132,CAL1379,,,12.90,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Alfaro Family Vineyards Dragon Slayer 2021",22734,CAL1003,,,13.50,750.000,ml,12,445.000
"Well Crafted Wine & Beverage Co.","Alfaro Family Vineyards Estate Pinot Noir 2023",30408,CAL1388,Alfaro,,13.50,750.000,ml,12,12.000
"Well Crafted Wine & Beverage Co.","Alfaro Family Vineyards Trout  Gulch Chardonnay 2023",30406,CAL1128,Alfaro,,13.00,750.000,ml,12,48.000
"Well Crafted Wine & Beverage Co.","Alfaro Family Vineyards Trout Gulch Pinot Noir 2023",29131,CAL1012,Alfaro,,13.50,750.000,ml,12,48.000
"Well Crafted Wine & Beverage Co.","Alma do Mar Ruby Port Mevushal (MD & DC)",23912,POR1030,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Angoris Schioppettino 2020",24083,ITA1139,,,13.50,750.000,ml,12,25.000
"Well Crafted Wine & Beverage Co.","Angoris Villa Locatelli Cabernet Franc 2022",24084,ITA1140,,,12.50,750.000,ml,12,77.000
"Well Crafted Wine & Beverage Co.","Angoris Villa Locatelli Pinot Grigio 2021",24082,ITA1138,,,12.50,750.000,ml,12,41.000
"Well Crafted Wine & Beverage Co.","Anko Cabernet Sauvignon Flor de Cardon 2019",25314,ARG1067,,,13.50,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Anko Cabernet Sauvignon Flor de Cardon 2022",29150,ARG1067,,,13.50,750.000,ml,12,316.000
"Well Crafted Wine & Beverage Co.","Anko Malbec 2022",25313,ARG1065,,,13.90,750.000,ml,12,122.000
"Well Crafted Wine & Beverage Co.","Anko Malbec 2023",28911,ARG1065,,,13.50,750.000,ml,12,95.000
"Well Crafted Wine & Beverage Co.","Anko Malbec Flor de Cardon 2022",28910,ARG1073,,,13.50,750.000,ml,12,115.000
"Well Crafted Wine & Beverage Co.","Anko Torrontes 2023",25311,ARG1064,,,13.50,750.000,ml,12,47.000
"Well Crafted Wine & Beverage Co.","Antonio Facchin Pinot Grigio (screwcap) 2024",28565,ITA1001,,,12.50,750.000,ml,12,2217.000
"Well Crafted Wine & Beverage Co.","Antonio Facchin Prosecco Brut 2024",28729,ITA1066,,,11.00,750.000,ml,12,30.000
"Well Crafted Wine & Beverage Co.","Antonio Facchin Prosecco Extra Dry 2023",24066,ITA1003,,,11.50,750.000,ml,12,11.000
"Well Crafted Wine & Beverage Co.","Antonio Facchin Prosecco Extra Dry 2024",29318,ITA1003,,,11.50,750.000,ml,12,1684.000
"Well Crafted Wine & Beverage Co.","Antonio Facchin Prosecco Extra Dry Mini   187 ml",21568,ITA1083,,,11.50,187.000,ml,24,0.000
"Well Crafted Wine & Beverage Co.","Antonio Facchin Prosecco Rosato 2024",28566,ITA1002,,,11.50,750.000,ml,12,3620.000
"Well Crafted Wine & Beverage Co.","Antonio Facchin Prosecco Treviso Screwcap NV",16930,ITA1067,,,11.50,750.000,ml,12,1578.000
"Well Crafted Wine & Beverage Co.","Apple Tree Lane Sauvignon Blanc 2024",29165,NWZ1026,,,13.50,750.000,ml,12,3956.000
"Well Crafted Wine & Beverage Co.","Aratas Los Carneros Chardonnay 2024",28498,CAL1061,,,13.80,750.000,ml,12,38.000
"Well Crafted Wine & Beverage Co.","Aratas Napa Valley Petite Sirah 2009",30333,CAL1062,,,15.10,750.000,ml,12,
"Well Crafted Wine & Beverage Co.","Aratas Napa Valley Petite Sirah 2010",1472,CAL1062,,,15.10,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Aratas Napa Valley Petite Sirah 2012",3131,CAL1062,"Aratas Winery",,14.90,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Aratas Napa Valley Petite Sirah 2018",20140,CAL1062,"Aratas Winery",,14.80,750.000,ml,12,21.000
"Well Crafted Wine & Beverage Co.","Aratas Napa Valley Petite Sirah 2019",23610,CAL1062,"Aratas Winery",,14.80,750.000,ml,12,36.000
"Well Crafted Wine & Beverage Co.","Aratas Sauvignon Blanc 2023",24165,CAL1297,,,13.70,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Aratas Sauvignon Blanc 2024",28499,CAL1297,,,13.90,750.000,ml,12,24.000
"Well Crafted Wine & Beverage Co.","Aratas Shake Ridge Petite Sirah 2011",2747,CAL1063,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Aratas Shake Ridge Petite Sirah 2013",20141,CAL1323,"Aratas Winery",,14.90,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Aratas Shake Ridge Petite Sirah 2018",25503,CAL1063,"Aratas Winery",,14.90,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Aratas Surreptitious Rose 2023",24166,CAL1298,,,13.90,750.000,ml,12,-1.000
"Well Crafted Wine & Beverage Co.","Aratas Veneration Red Blend 2012",1496,CAL1064,,,14.90,750.000,ml,12,2.000
"Well Crafted Wine & Beverage Co.","Aratas Veneration Red Blend 2019",20136,CAL1064,,,14.90,750.000,ml,12,4.000
"Well Crafted Wine & Beverage Co.","Aratas Veneration Red Blend 2021",21999,CAL1064,,,14.90,750.000,ml,12,39.000
"Well Crafted Wine & Beverage Co.","Aresca Cortese 2021",19149,ITA1077,,,12.00,750.000,ml,12,13.000
"Well Crafted Wine & Beverage Co.","Aresca Cortese 2022",20428,ITA1077,,,12.00,750.000,ml,12,74.000
"Well Crafted Wine & Beverage Co.","Aresca Fiore d Atunno Moscato dAsti 2020",14995,ITA1035,,,5.00,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Aresca Fiore d Atunno Moscato dAsti 2023",23147,ITA1035,,,5.00,750.000,ml,12,82.000
"Well Crafted Wine & Beverage Co.","Armonia Moscato NV",17075,,,,,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Armstrong Family WInery Bogies Blend 2017",16857,SAMPLE,,,,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Armstrong Family Winery Cabernet Sauvignon 2017",16855,SAMPLE,,,,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Armstrong Family Winery Ebby James (Syrah) 2020",18210,SAMPLE,,,,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Armstrong Family Winery Four Birds 2018",16859,SAMPLE,,,,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Armstrong Family Winery Fronk 2018",16856,SAMPLE,,,,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Armstrong Family Winery Sally Mac Cabernet Sauvignon 2019",18212,WAS1031,,,,750.000,ml,12,28.000
"Well Crafted Wine & Beverage Co.","Armstrong Family Winery Syrah 2019",16860,WAS1032,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Armstrong Family Winery Zinfandel 2019",16858,,,,,750.000,ml,,1.000
"Well Crafted Wine & Beverage Co.","Armstrong Bogies Blend 2016",7059,WAS1012,,,15.20,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Armstrong Cabernet Sauvignon 2018",18209,WAS1010,,,13.90,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Armstrong Fronk 2016",7060,WAS1013,,,14.70,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Armstrong Fronk 2019",21264,WAS1013,,,14.70,750.000,ml,12,18.000
"Well Crafted Wine & Beverage Co.","Artis NA Brut Blanc",24966,NON1014,,,,750.000,ml,12,11.000
"Well Crafted Wine & Beverage Co.","Artis NA Brut Rose",24965,NON1013,,,0.00,750.000,ml,12,476.000
"Well Crafted Wine & Beverage Co.","Artis NA Chardonnay",24967,NON1015,,,,750.000,ml,12,12.000
"Well Crafted Wine & Beverage Co.","Artis NA Merlot",24968,NON1016,,,,750.000,ml,12,28.000
"Well Crafted Wine & Beverage Co.","Attwoods Vin de Folie Rouge 2024",28241,AUS1048,,,14.00,750.000,ml,12,35.000
"Well Crafted Wine & Beverage Co.","Bacio Semi Sweet Red",14444,ITA1059,,,11.00,750.000,ml,12,196.000
"Well Crafted Wine & Beverage Co.","Backsberg Blueberry Row Pinotage 2020",17951,SAF1048,,,14.00,750.000,ml,12,17.000
"Well Crafted Wine & Beverage Co.","Backsberg Cabernet Sauvignon 2019",15216,SAF1049,Backsberg,,14.00,750.000,ml,12,5.000
"Well Crafted Wine & Beverage Co.","Backsberg Chenin Blanc (White and Blue Label) 2023",24246,SAF1046,Backsberg,,13.00,750.000,ml,12,4.000
"Well Crafted Wine & Beverage Co.","Backsberg Chenin Blanc (White and Blue Label) 2024",28990,SAF1046,Backsberg,,12.50,750.000,ml,12,108.000
"Well Crafted Wine & Beverage Co.","Backsberg Ella Rose 2024",30244,SAF1047,,,12.50,750.000,ml,12,40.000
"Well Crafted Wine & Beverage Co.","Backsberg Family Reserve White 2017",16085,SAF1053,,,,750.000,ml,12,4.000
"Well Crafted Wine & Beverage Co.","Backsberg John Martin Red Blend 2018",25086,SAF1096,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Backsberg Patriarch Cabernet Franc 2022",25087,SAF1097,Backsberg,,14.00,750.000,ml,12,61.000
"Well Crafted Wine & Beverage Co.","Backsberg Pumphouse Shiraz 2018",16087,SAF1051,Backsberg,,,750.000,ml,12,2.000
"Well Crafted Wine & Beverage Co.","Backsberg Pumphouse Shiraz 2020",19643,SAF1051,Backsberg,,14.00,750.000,ml,12,107.000
"Well Crafted Wine & Beverage Co.","Backsberg Rose 2022",21129,SAF1047,,,12.50,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Backsberg Smuggled Vines Chardonnay 2024",27309,SAF1101,Backsberg,,,750.000,ml,12,71.000
"Well Crafted Wine & Beverage Co.","Backsberg Sydney Back Chardonnay 2020",17953,SAF1056,Backsberg,,12.00,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Backsberg Sydney Back Chardonnay 2021",28217,SAF1056,Backsberg,,12.00,750.000,ml,12,59.000
"Well Crafted Wine & Beverage Co.","Backsberg Sydney Back Merlot 2022",28353,SAF1058,Backsberg,,13.00,750.000,ml,12,161.000
"Well Crafted Wine & Beverage Co.","Backsberg Sydney Back Pinotage 2021",25140,SAF1095,Backsberg,,,750.000,ml,12,15.000
"Well Crafted Wine & Beverage Co.","Baleia Chardonnay 2022",29308,SAF1116,Baleia,,13.50,750.000,ml,12,70.000
"Well Crafted Wine & Beverage Co.","Baleia Pinot Noir 2023",29310,SAF1118,Baleia,,13.50,750.000,ml,12,392.000
"Well Crafted Wine & Beverage Co.","Baleia Sauvignon Blanc 2024",29307,SAF1115,Baleia,,12.50,750.000,ml,12,400.000
"Well Crafted Wine & Beverage Co.","Baleia Vinho Rocas Red Blend 2023",29309,SAF1117,Baleia,,13.00,750.000,ml,12,247.000
"Well Crafted Wine & Beverage Co.","Bandol Fleur de Province Cotes de Province 2021",18216,SAMPLE,,,,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Bandol Red blend 2021",18215,,,,,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Banner Day Carmenere 2021",19246,CHL1006,,,13.50,750.000,ml,12,7.000
"Well Crafted Wine & Beverage Co.","Banner Day Carmenere 2023",28607,CHL1006,,,13.50,750.000,ml,12,204.000
"Well Crafted Wine & Beverage Co.","Barcelona Lolea Red Can NV  250 ml",14552,SPA1251,,,7.00,250.000,ml,24,2.000
"Well Crafted Wine & Beverage Co.","Barcelona Lolea Red Sangria",859,SPA1133,,,7.00,750.000,ml,12,1143.000
"Well Crafted Wine & Beverage Co.","Barcelona Lolea Rose Sangria",2572,SPA1165,,,5.50,750.000,ml,12,191.000
"Well Crafted Wine & Beverage Co.","Barcelona Lolea White Spritz NV",858,SPA1134,,,5.50,750.000,ml,12,830.000
"Well Crafted Wine & Beverage Co.","Barone Di Bernaj Cabernet Sauvignon Terre Siciliane 2020",14595,ITA1007,,,13.00,750.000,ml,12,2.000
"Well Crafted Wine & Beverage Co.","Barone Di Bernaj Cabernet Sauvignon Terre Siciliane 2021",17973,ITA1007,,,13.00,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Barone Di Bernaj Cabernet Sauvignon Terre Siciliane 2022",22835,ITA1007,,,13.00,750.000,ml,12,294.000
"Well Crafted Wine & Beverage Co.","Barrel Oak Farm Taphouse Dubbel   19550 ml",9225,VIR1036,,,6.30,19550.000,ml,1,
"Well Crafted Wine & Beverage Co.","Barrel Oak Farm Taphouse Dubbel   58670 ml",9248,VIR1036,,,6.30,58670.000,ml,1,
"Well Crafted Wine & Beverage Co.","Barrel Oak Farm Taphouse Kolsch   58670 ml",9250,VIR1039,,,5.00,58670.000,ml,1,
"Well Crafted Wine & Beverage Co.","Barrel Oak Farm Taphouse Tripel   19550 ml",9226,VIR1037,,,8.70,19550.000,ml,1,
"Well Crafted Wine & Beverage Co.","Barrel Oak Farm Taphouse Tripel   58670 ml",9249,VIR1037,,,8.70,58670.000,ml,1,
"Well Crafted Wine & Beverage Co.","Bat Shlomo Sauvignon Blanc (MD & DC) 2024",23924,ISR1008,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Beefsteak Malbec 2019",14481,ARG1062,,,13.50,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Beefsteak Shiraz 2019",14482,ARG1061,,,14.50,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Beefsteak The Beast Red Blend 2019",29088,POR1040,,,13.50,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Bernard Gaucher Champagne NV",25518,FRA1060,,,12.00,750.000,ml,12,93.000
"Well Crafted Wine & Beverage Co.","Bernard Gaucher Champagne Split NV  375 ml",25519,FRA1061,,,,375.000,ml,12,78.000
"Well Crafted Wine & Beverage Co.","Bierzo Pilgrim Godello 2021",18245,SPA1142,"Pilgrim Bierzo",,13.50,750.000,ml,6,2.000
"Well Crafted Wine & Beverage Co.","Bierzo Pilgrim Godello 2023",24056,SPA1142,"Pilgrim Bierzo",,13.50,750.000,ml,6,89.000
"Well Crafted Wine & Beverage Co.","Bierzo Pilgrim Mencia 2017",4646,SPA1143,,,14.50,750.000,ml,6,1.000
"Well Crafted Wine & Beverage Co.","Bierzo Pilgrim Mencia 2021",21494,SPA1143,,,14.50,750.000,ml,6,291.000
"Well Crafted Wine & Beverage Co.","Bitch Bubbly (187ml) NV  187 ml",15255,CAL1250,,,11.00,187.000,ml,12,337.000
"Well Crafted Wine & Beverage Co.","Bitch Bubbly (750ml) NV",15254,CAL1249,,,11.00,750.000,ml,12,493.000
"Well Crafted Wine & Beverage Co.","Bitch Grenache 2021",23667,CAL1251,,,14.50,750.000,ml,12,75.000
"Well Crafted Wine & Beverage Co.","Bitch Grenache (Damaged Lid) 2020",23250,CAL1251,,,14.50,750.000,ml,12,2.000
"Well Crafted Wine & Beverage Co.","Black Elephant Vintners Back Roads Petite Sirah 2019",29404,SAF1121,"Black Elephant Vintners & CO",,14.50,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Black Elephant Vintners Cap Classique Brut",20967,SAF1083,,,11.71,750.000,ml,6,208.000
"Well Crafted Wine & Beverage Co.","Black Elephant Vintners Power of Love Chenin Blanc 2023",22527,SAF1081,,,12.62,750.000,ml,12,92.000
"Well Crafted Wine & Beverage Co.","Black Elephant Vintners Power of Love Chenin Blanc 2024",25694,SAF1081,,,12.62,750.000,ml,12,168.000
"Well Crafted Wine & Beverage Co.","Black Elephant Vintners Rose Rebel 2024",24961,SAF1085,,,,750.000,ml,12,343.000
"Well Crafted Wine & Beverage Co.","Black Elephant Vintners Three Men in a Tub with a Rubber Duck Blend 2023",24954,SAF1084,,,13.17,750.000,ml,12,1023.000
"Well Crafted Wine & Beverage Co.","Black Elephant Vintners Three Men in a Tub with a Rubber Duck Blend 2024",25678,SAF1084,,,13.17,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Black Elephant Vintners Two Dogs, A Peacock, & A Horse Sauvignon Blanc 2024",25669,SAF1082,,,12.93,750.000,ml,12,239.000
"Well Crafted Wine & Beverage Co.","Black Elephant Vintners Two Dogs, A Peacock, & A Horse Sauvignon Blanc 2025",29405,SAF1082,,,12.93,750.000,ml,12,420.000
"Well Crafted Wine & Beverage Co.","Bloem Chenin Blanc Viognier 2023",23640,SAF1003,"Noble Hill Winery",,12.50,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Bloem Chenin Blanc Viognier 2024",25738,SAF1003,"Noble Hill Winery",,12.50,750.000,ml,12,135.000
"Well Crafted Wine & Beverage Co.","Bloem Chenin Blanc Viognier (Damaged Labels) 2023",24787,SAF1003,"Noble Hill Winery",,12.50,750.000,ml,12,7.000
"Well Crafted Wine & Beverage Co.","Bloem Syrah Mourvèdre 2020",18090,SAF1008,"Noble Hill Winery",,13.50,750.000,ml,12,2.000
"Well Crafted Wine & Beverage Co.","Bloem Syrah Mourvèdre 2021",25736,SAF1008,"Noble Hill Winery",,13.50,750.000,ml,12,373.000
"Well Crafted Wine & Beverage Co.","Blue Vibes Verdejo Frizzante NV",29258,SPA1341,,,5.50,750.000,ml,12,6758.000
"Well Crafted Wine & Beverage Co.","Bodegas Gieco Familia Gieco Malbec 2022",24637,ARG1029,,,14.00,750.000,ml,12,2750.000
"Well Crafted Wine & Beverage Co.","Bodegas Gieco Malbec Single Vineyard (12 packs) 2022",28604,ARG1021,"Bodegas Gieco",,15.00,750.000,ml,12,547.000
"Well Crafted Wine & Beverage Co.","Bodegas Gieco Malbec Single Vineyard (6 packs) 2021",17689,ARG1033,"Bodegas Gieco",,15.00,750.000,ml,6,1.000
"Well Crafted Wine & Beverage Co.","Bodegas Gieco Malbec Special Selection 2019",17695,ARG1022,"Bodegas Gieco",,15.00,750.000,ml,6,117.000
"Well Crafted Wine & Beverage Co.","Bodegas Gieco Malbec Special Selection 2020",30309,ARG1022,"Bodegas Gieco",,15.00,750.000,ml,6,252.000
"Well Crafted Wine & Beverage Co.","Bodegas Gieco Special Selection Cabernet Franc 2020",24638,ARG1032,"Bodegas Gieco",,15.00,750.000,ml,12,466.000
"Well Crafted Wine & Beverage Co.","Bodegas Gieco Special Selection Red Blend 2019",17696,ARG1031,"Bodegas Gieco",,15.00,750.000,ml,6,221.000
"Well Crafted Wine & Beverage Co.","Bodegas Paco Garcia Beautiful Things 2015",10877,SPA1228,,,14.10,750.000,ml,6,
"Well Crafted Wine & Beverage Co.","Bodegas Paco Garcia Crianza 2017",10875,SPA1226,,,14.10,750.000,ml,12,
"Well Crafted Wine & Beverage Co.","Bodegas Paco Garcia Junior 2018",10373,SPA1225,,,14.10,750.000,ml,12,
"Well Crafted Wine & Beverage Co.","Bodegas Paco Garcia Seis 2018",10871,SPA1223,,,14.10,750.000,ml,12,
"Well Crafted Wine & Beverage Co.","Bodegas Paco Garcia Tempranillo Blanco 2019",10872,SPA1224,,,14.10,750.000,ml,6,
"Well Crafted Wine & Beverage Co.","Bodegas Pinea PINEA 2018",20535,SPA1171,Pinea,,,750.000,ml,6,0.000
"Well Crafted Wine & Beverage Co.","Bodegas Pinea PINEA 2019",29148,SPA1171,Pinea,,15.50,750.000,ml,6,109.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Canchales 2020",17625,SPA1091,,,13.00,750.000,ml,12,286.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Blanco Barrel Fermented 2023",28594,SPA1212,,,12.50,750.000,ml,12,358.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Cepas Viejas 2021",25301,SPA1339,,,,750.000,ml,6,7.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Crianza 2021",24794,SPA1168,,,14.00,750.000,ml,12,7.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Crianza 2022",28869,SPA1168,,,14.00,750.000,ml,12,5.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Garnacha 2020",17101,SPA1259,,,14.00,750.000,ml,6,37.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Gran Reserva 1978",25962,SPA1346,,,,750.000,ml,1,0.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Gran Reserva 1998",971,SPA1203,,,13.50,750.000,ml,12,125.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Gran Reserva 2001",811,SPA1299,,,13.50,750.000,ml,12,49.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Gran Reserva 2004",3226,SPA1097,,,14.00,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Gran Reserva 2005",15937,SPA1097,,,14.00,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Gran Reserva 2006",999,SPA1097,,,13.50,750.000,ml,12,6.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Gran Reserva 2014",15528,SPA1250,,,14.00,750.000,ml,12,118.000
"Well Crafted Wine & Beverage Co.","Bodegas Riojanas Monte Real Reserva 2015",7198,SPA1096,,,14.00,750.000,ml,12,1.000
