referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
175153,175153,"September 18, 2025",360,,,,1
175155,175155,"October 1, 2025",3,,,,1
175156,175156,"September 17, 2025",3,,,,4
175157,175157,"September 17, 2025",1,,,,0
175158,175158,"September 17, 2025",703.92,,,,1
175160,175160,"September 17, 2025",10,,,,5
175161,175161,"September 17, 2025",4,,,,4
175162,175162,"September 17, 2025",4,,,,4
175164,175164,"September 18, 2025",337.25,,,,2
175165,175165,"September 18, 2025",240.12,,,,2
175166,175166,"September 16, 2025",2891,,,,1
175167,175167,"September 17, 2025",11,,,,6
175168,175168,"September 17, 2025",7,,,,5
175169,175169,"September 19, 2025",5,,,,5
175171,175171,"September 16, 2025",2891,,,,1
175172,175172,"September 17, 2025",4,,,,4
175173,175173,"September 18, 2025",863.61,,,,3
175174,175174,"September 18, 2025",528.12,,,,2
175175,175175,"September 25, 2025",645,,,,2
175176,175176,"September 19, 2025",365.13,,,,5
175177,175177,"September 17, 2025",34,,,,5
175178,175178,"September 18, 2025",840,,,,1
175180,175180,"September 17, 2025",4,,,,1
175181,175181,"September 17, 2025",5,,,,1
175182,175182,"September 17, 2025",6,,,,3
175183,175183,"September 17, 2025",4,,,,6
175185,175185,"September 17, 2025",1,,,,0
175187,175187,"September 17, 2025",1.83,,,,8
175188,175188,"September 17, 2025",799.68,,,,1
175189,175189,"September 17, 2025",7,,,,5
175190,175190,"September 19, 2025",817.32,,,,12
175191,175191,"September 17, 2025",3,,,,5
175192,175192,"September 17, 2025",1,,,,3
175194,175194,"September 17, 2025",28681,,,,1
175195,175195,"September 17, 2025",23657,,,,0
175198,175198,"September 17, 2025",21620,,,,0
175200,175200,"September 17, 2025",859.9,,,,5
175201,175201,"September 17, 2025",664.95,,,,5
175202,175202,"September 30, 2025",4,,,,3
175203,175203,"September 19, 2025",1407.36,,,,1
175204,175204,"September 17, 2025",5,,,,5
175205,175205,"September 17, 2025",6,,,,3
175208,175208,"September 18, 2025",323.88,,,,2
175210,175210,"September 18, 2025",339.72,,,,3
175214,175214,"September 17, 2025",6,,,,4
175215,175215,"September 17, 2025",11.67,,,,22
175216,175216,"September 17, 2025",11,,,,4
175218,175218,"September 18, 2025",2,,,,4
175219,175219,"September 18, 2025",25355,,,,0
175220,175220,"October 4, 2025",21811,,,,1
175221,175221,"September 18, 2025",9,,,,8
175222,175222,"September 26, 2025",2.33,,,,6
175223,175223,"November 3, 2025",5.5,,,,15
175224,175224,"September 18, 2025",6,,,,4
175225,175225,"September 18, 2025",6,,,,0
175227,175227,"September 17, 2025",527.64,,,,2
175228,175228,"September 17, 2025",1099.8,,,,2
175230,175230,"September 30, 2025",5,,,,7
175231,175231,"September 18, 2025",6,,,,3
175232,175232,"September 18, 2025",11,,,,5
175233,175233,"September 18, 2025",13,,,,3
175234,175234,"September 17, 2025",1266.01,,,,5
175235,175235,"September 18, 2025",4,,,,5
175236,175236,"June 13, 2025",1402,,,,1
175237,175237,"July 14, 2025",1402,,,,1
175238,175238,"August 13, 2025",1402,,,,1
175239,175239,"September 13, 2025",1402,,,,1
175240,175240,"June 30, 2025",1402,,,,1
175241,175241,"July 31, 2025",1402,,,,1
175242,175242,"September 1, 2025",1402,,,,1
175243,175243,"September 17, 2025",1,,,,0
175244,175244,"September 1, 2025",1386,,,,2
175245,175245,"September 1, 2025",1001.6,,,,3
175246,175246,"September 18, 2025",5,,,,6
175247,175247,"September 1, 2025",1386,,,,2
175248,175248,"September 18, 2025",3.5,,,,5
175250,175250,"September 17, 2025",1.5,,,,13
175251,175251,"September 18, 2025",400.08,,,,2
175252,175252,"September 18, 2025",435.99,,,,4
175253,175253,"September 18, 2025",25410,,,,0
175254,175254,"September 18, 2025",733.92,,,,3
175255,175255,"September 18, 2025",299.88,,,,2
175256,175256,"September 19, 2025",4,,,,0
175257,175257,"September 17, 2025",2369,,,,2
175258,175258,"September 17, 2025",1338,,,,0
175259,175259,"September 2, 2025",1338,,,,0
175260,175260,"September 18, 2025",1493.18,,,,5
175261,175261,"September 18, 2025",491.76,,,,4
175262,175262,"September 18, 2025",359.94,,,,7
175263,175263,"September 17, 2025",1506,,,,1
175265,175265,"September 17, 2025",138,,,,2
175266,175266,"September 17, 2025",1506,,,,1
175268,175268,"September 18, 2025",5,,,,6
175269,175269,"September 18, 2025",1,,,,1
175270,175270,"September 25, 2025",663.84,,,,4
175271,175271,"September 18, 2025",6,,,,0
175273,175273,"September 18, 2025",4,,,,17
175274,175274,"September 18, 2025",3.83,,,,5
175275,175275,"September 18, 2025",8,,,,8
175276,175276,"September 18, 2025",647.7,,,,7
175277,175277,"September 18, 2025",1163.94,,,,5
175279,175279,"September 18, 2025",321.61,,,,2
