referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
174573,174573,"September 11, 2025",330.92,,,,3
174574,174574,"September 10, 2025",529.8,,,,1
174575,174575,"September 9, 2025",25,,,,4
174576,174576,"September 10, 2025",776.25,,,,8
174577,174577,"September 11, 2025",467.64,,,,3
174578,174578,"September 9, 2025",6,,,,10
174580,174580,"September 09, 2025",605.07,,,,3
174581,174581,"September 09, 2025",500.04,,,,5
174582,174582,"September 9, 2025",6,,,,3
174583,174583,"September 9, 2025",61,,,,28
174585,174585,"September 9, 2025",26502,,,,2
174587,174587,"September 11, 2025",295.98,,,,1
174588,174588,"September 9, 2025",1,,,,3
174589,174589,"September 9, 2025",1,,,,0
174590,174590,"September 09, 2025",658.44,,,,2
174591,174591,"September 15, 2025",10.33,,,,10
174593,174593,"September 09, 2025",277.77,,,,2
174601,174601,"September 10, 2025",335.88,,,,1
174602,174602,"September 10, 2025",351.96,,,,2
174603,174603,"September 10, 2025",231.84,,,,1
174604,174604,"September 10, 2025",134.28,,,,1
174605,174605,"September 9, 2025",6,,,,4
174606,174606,"September 9, 2025",26774,,,,1
174607,174607,"September 12, 2025",493.1,,,,5
174610,174610,"September 10, 2025",29930,,,,1
174611,174611,"September 10, 2025",3.42,,,,4
174613,174613,"October 8, 2025",5.17,,,,10
174614,174614,"September 12, 2025",28808,,,,0
174615,174615,"September 11, 2025",26134,,,,0
174616,174616,"September 10, 2025",5,,,,6
174617,174617,"September 9, 2025",21811,,,,1
174618,174618,"September 10, 2025",21811,,,,1
174619,174619,"September 10, 2025",23583,,,,1
174620,174620,"September 9, 2025",23911,,,,1
174621,174621,"September 10, 2025",6,,,,4
174622,174622,"September 9, 2025",28512,,,,1
174623,174623,"September 10, 2025",10,,,,5
174625,174625,"September 10, 2025",5,,,,8
174626,174626,"September 10, 2025",3,,,,6
174627,174627,"August 26, 2025",1386,,,,2
174628,174628,"September 10, 2025",269.64,,,,1
174632,174632,"September 11, 2025",295.44,,,,3
174634,174634,"September 9, 2025",2891,,,,1
174637,174637,"September 10, 2025",28069,,,,0
174638,174638,"September 11, 2025",29100,,,,0
174641,174641,"September 16, 2025",3,,,,1
174642,174642,"September 10, 2025",411.96,,,,2
174645,174645,"September 10, 2025",29162,,,,1
174646,174646,"September 10, 2025",5,,,,4
174647,174647,"September 10, 2025",13,,,,6
174648,174648,"September 10, 2025",6,,,,4
174650,174650,"September 10, 2025",4,,,,4
174652,174652,"September 10, 2025",3.83,,,,20
174653,174653,"September 22, 2025",21.5,,,,14
174654,174654,"September 10, 2025",0.83,,,,10
174655,174655,"September 17, 2025",794.74,,,,9
174656,174656,"September 10, 2025",6,,,,3
174657,174657,"September 12, 2025",217.18,,,,4
174658,174658,"September 10, 2025",23648,,,,0
174661,174661,"September 24, 2025",1985,,,,13
174662,174662,"September 12, 2025",3,,,,1
174663,174663,"September 12, 2025",219.78,,,,10
174664,174664,"September 10, 2025",5,,,,0
174665,174665,"September 10, 2025",7.5,,,,15
174666,174666,"September 10, 2025",4,,,,1
174667,174667,"September 10, 2025",5,,,,6
174669,174669,"September 10, 2025",2,,,,4
174670,174670,"September 10, 2025",741.84,,,,6
174671,174671,"September 10, 2025",2,,,,2
174672,174672,"September 10, 2025",27880,,,,0
174673,174673,"September 10, 2025",3,,,,4
174675,174675,"September 10, 2025",10617,,,,1
174676,174676,"September 12, 2025",925.86,,,,3
174677,174677,"September 12, 2025",421.92,,,,2
174680,174680,"September 10, 2025",1.17,,,,8
174682,174682,"September 10, 2025",2,,,,0
174683,174683,"September 10, 2025",5,,,,1
174687,174687,"September 10, 2025",407.88,,,,3
174688,174688,"September 11, 2025",355.85,,,,5
174689,174689,"September 10, 2025",1541.82,,,,4
174690,174690,"September 10, 2025",1,,,,4
174691,174691,"September 11, 2025",4,,,,4
174693,174693,"September 10, 2025",5,,,,0
174694,174694,"September 11, 2025",220.97,,,,2
174695,174695,"September 11, 2025",330.92,,,,3
174696,174696,"September 11, 2025",240.12,,,,2
174697,174697,"September 11, 2025",299.88,,,,2
174698,174698,"October 27, 2025",7,,,,13
174700,174700,"September 10, 2025",178.6,,,,3
174702,174702,"September 11, 2025",6,,,,0
174704,174704,"October 1, 2025",22.5,,,,9
174707,174707,"September 11, 2025",11,,,,11
174709,174709,"September 12, 2025",328.08,,,,2
174710,174710,"September 10, 2025",1,,,,1
174712,174712,"September 11, 2025",3,,,,1
174713,174713,"September 11, 2025",7.5,,,,4
174715,174715,"September 11, 2025",319.98,,,,2
174716,174716,"September 11, 2025",322.5,,,,2
174717,174717,"September 11, 2025",1695.72,,,,6
174718,174718,"September 11, 2025",288,,,,1
174719,174719,"September 11, 2025",708.33,,,,5
174720,174720,"September 11, 2025",421.38,,,,3
174721,174721,"September 11, 2025",425,,,,3
174722,174722,"September 11, 2025",215.76,,,,2
174723,174723,"September 11, 2025",5,,,,0
174724,174724,"September 11, 2025",25410,,,,0
174726,174726,"September 12, 2025",599.94,,,,1
174727,174727,"September 10, 2025",3138,,,,1
174728,174728,"September 11, 2025",2,,,,3
174729,174729,"September 11, 2025",384.12,,,,1
174730,174730,"September 11, 2025",399.72,,,,2
174731,174731,"September 10, 2025",1338,,,,0
174732,174732,"September 10, 2025",1338,,,,0
174733,174733,"September 11, 2025",437.79,,,,4
174734,174734,"September 10, 2025",1338,,,,0
174735,174735,"September 10, 2025",1338,,,,0
174736,174736,"September 10, 2025",1338,,,,0
174737,174737,"September 10, 2025",1338,,,,1
174738,174738,"September 18, 2025",753.84,,,,3
174740,174740,"September 10, 2025",25,,,,1
174741,174741,"September 11, 2025",8.58,,,,4
174742,174742,"September 11, 2025",24340,,,,0
174743,174743,"September 10, 2025",1338,,,,0
174744,174744,"September 10, 2025",1338,,,,0
174745,174745,"September 10, 2025",1338,,,,0
174746,174746,"September 10, 2025",1338,,,,0
174747,174747,"September 10, 2025",1338,,,,0
