referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
177025,177025,"October 14, 2025",3,,,,4
177026,177026,"October 10, 2025",30,,,,13
177028,177028,"October 9, 2025",0.67,,,,0
177029,177029,"October 9, 2025",1338,,,,0
177030,177030,"October 15, 2025",7424.4,,,,1
177031,177031,"October 15, 2025",5568.3,,,,1
177032,177032,"October 9, 2025",3,,,,0
177033,177033,"October 15, 2025",7424.4,,,,1
177034,177034,"October 15, 2025",3712.2,,,,1
177035,177035,"October 15, 2025",5568.3,,,,1
177036,177036,"October 15, 2025",3712.2,,,,1
177037,177037,"October 9, 2025",1856.1,,,,1
177038,177038,"October 15, 2025",16704.9,,,,1
177039,177039,"October 15, 2025",5568.3,,,,1
177040,177040,"October 15, 2025",14848.8,,,,1
177041,177041,"October 15, 2025",5568.3,,,,1
177042,177042,"October 9, 2025",5568.3,,,,1
177043,177043,"October 9, 2025",7424.4,,,,1
177044,177044,"October 15, 2025",11136.6,,,,1
177045,177045,"October 9, 2025",7,,,,5
177048,177048,"October 9, 2025",1322,,,,0
177049,177049,"October 9, 2025",1322,,,,0
177050,177050,"October 9, 2025",1322,,,,0
177051,177051,"October 9, 2025",1,,,,0
177052,177052,"October 9, 2025",3138,,,,1
177054,177054,"October 9, 2025",2,,,,1
177057,177057,"October 9, 2025",15485,,,,18
177058,177058,"October 9, 2025",9,,,,1
177062,177062,"October 10, 2025",3.33,,,,7
177063,177063,"October 10, 2025",631.92,,,,7
177064,177064,"October 13, 2025",9,,,,6
177065,177065,"October 10, 2025",10.17,,,,39
177066,177066,"October 10, 2025",609.96,,,,2
177067,177067,"October 10, 2025",687.48,,,,4
177069,177069,"October 15, 2025",3,,,,3
177070,177070,"October 10, 2025",524.04,,,,4
177071,177071,"October 10, 2025",563.06,,,,5
177072,177072,"October 10, 2025",503.76,,,,2
177073,177073,"October 16, 2025",4,,,,6
177074,177074,"October 10, 2025",371.88,,,,3
177075,177075,"October 13, 2025",4.83,,,,1
177076,177076,"October 10, 2025",1,,,,1
177077,177077,"October 10, 2025",1765.74,,,,18
177078,177078,"October 10, 2025",429.96,,,,1
177079,177079,"October 9, 2025",1.17,,,,1
177080,177080,"October 17, 2025",7,,,,6
177081,177081,"October 20, 2025",3,,,,6
177082,177082,"October 10, 2025",675.26,,,,8
177083,177083,"October 10, 2025",647.64,,,,2
177085,177085,"October 9, 2025",2891,,,,0
177087,177087,"October 10, 2025",300,,,,1
