referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
175446,175446,"September 19, 2025",4,,,,7
175447,175447,"September 19, 2025",1551.18,,,,5
175448,175448,"September 19, 2025",0.5,,,,1
175450,175450,"September 25, 2025",832.92,,,,4
175452,175452,"September 19, 2025",345.88,,,,3
175453,175453,"September 25, 2025",29917,,,,0
175454,175454,"September 26, 2025",4,,,,1
175455,175455,"September 22, 2025",1.33,,,,4
175459,175459,"September 23, 2025",6,,,,1
175460,175460,"September 19, 2025",271.92,,,,3
175461,175461,"September 22, 2025",27273,,,,0
175462,175462,"September 17, 2025",1421,,,,1
175463,175463,"October 7, 2025",3,,,,10
175464,175464,"September 22, 2025",2,,,,5
175465,175465,"September 19, 2025",88.4,,,,2
175466,175466,"September 19, 2025",104.01,,,,1
175467,175467,"September 22, 2025",2.17,,,,9
175468,175468,"September 19, 2025",186,,,,2
175469,175469,"September 19, 2025",1338,,,,0
175470,175470,"October 20, 2025",6,,,,8
175471,175471,"September 24, 2025",1447.8,,,,2
175472,175472,"September 19, 2025",104.01,,,,1
175473,175473,"September 23, 2025",1,,,,1
175474,175474,"September 19, 2025",48.3,,,,1
175475,175475,"September 19, 2025",1334.4,,,,4
175476,175476,"September 19, 2025",161,,,,1
175477,175477,"September 19, 2025",25438,,,,0
175479,175479,"September 19, 2025",1012.81,,,,4
175481,175481,"September 19, 2025",6329,,,,8
175482,175482,"September 22, 2025",29928,,,,0
175484,175484,"September 22, 2025",21,,,,10
175485,175485,"September 22, 2025",6,,,,7
175486,175486,"September 22, 2025",3.25,,,,3
175487,175487,"September 23, 2025",3,,,,2
175488,175488,"September 22, 2025",4,,,,4
175489,175489,"September 26, 2025",8.08,,,,7
175490,175490,"September 24, 2025",223.92,,,,1
175492,175492,"September 22, 2025",2.5,,,,10
175494,175494,"September 22, 2025",3.33,,,,7
175496,175496,"September 22, 2025",3,,,,4
175497,175497,"September 22, 2025",2.5,,,,6
175499,175499,"September 22, 2025",6,,,,4
175500,175500,"September 24, 2025",3.17,,,,6
175501,175501,"September 24, 2025",8,,,,8
175504,175504,"September 19, 2025",1,,,,0
175505,175505,"September 20, 2025",200.61,,,,2
175507,175507,"September 20, 2025",16597,,,,9
175508,175508,"September 20, 2025",6,,,,0
175509,175509,"September 20, 2025",0.5,,,,0
175510,175510,"September 22, 2025",479.88,,,,1
175511,175511,"September 21, 2025",104.01,,,,1
175512,175512,"September 21, 2025",166,,,,2
175513,175513,"September 21, 2025",314.01,,,,2
175514,175514,"September 25, 2025",1137.36,,,,9
175516,175516,"September 23, 2025",692.88,,,,3
175519,175519,"September 21, 2025",19459,,,,15
175521,175521,"September 21, 2025",2891,,,,1
175522,175522,"September 21, 2025",2891,,,,0
175524,175524,"September 24, 2025",607.92,,,,3
175525,175525,"September 23, 2025",3,,,,2
175526,175526,"September 25, 2025",531.96,,,,2
175527,175527,"September 24, 2025",25355,,,,0
