referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
176695,176695,"October 7, 2025",4,,,,0
176696,176696,"October 6, 2025",28512,,,,1
176697,176697,"October 28, 2025",1679.88,,,,6
176698,176698,"October 30, 2025",917.19,,,,1
176699,176699,"October 09, 2025",2182.5,,,,1
176700,176700,"October 6, 2025",2891,,,,0
176701,176701,"October 7, 2025",10,,,,4
176702,176702,"October 14, 2025",5919.84,,,,5
176703,176703,"October 6, 2025",3369,,,,1
176704,176704,"October 08, 2025",791.76,,,,1
176706,176706,"October 6, 2025",0.83,,,,9
176708,176708,"October 08, 2025",509.04,,,,4
176709,176709,"October 7, 2025",12,,,,5
176710,176710,"October 09, 2025",330.92,,,,3
176711,176711,"October 09, 2025",1051.68,,,,7
176713,176713,"October 6, 2025",6,,,,2
176715,176715,"October 6, 2025",2.83,,,,3
176716,176716,"October 14, 2025",600,,,,1
176719,176719,"October 8, 2025",3,,,,3
176720,176720,"October 7, 2025",3,,,,1
176721,176721,"October 08, 2025",2126.64,,,,4
176722,176722,"October 08, 2025",227.76,,,,2
176723,176723,"October 7, 2025",7.5,,,,0
176724,176724,"October 07, 2025",1795.8,,,,4
176726,176726,"October 07, 2025",1717.8,,,,5
176727,176727,"October 07, 2025",804.04,,,,6
176728,176728,"October 7, 2025",2,,,,3
176729,176729,"October 7, 2025",2.75,,,,7
176730,176730,"October 8, 2025",3,,,,1
176731,176731,"October 7, 2025",1.25,,,,3
176732,176732,"October 7, 2025",5,,,,0
176734,176734,"October 10, 2025",832.08,,,,6
176735,176735,"October 08, 2025",256.08,,,,1
176736,176736,"October 14, 2025",0.33,,,,1
176737,176737,"October 14, 2025",16.5,,,,49
176738,176738,"October 07, 2025",480.24,,,,1
176739,176739,"October 08, 2025",231.84,,,,2
176740,176740,"October 14, 2025",0.17,,,,0
176741,176741,"October 07, 2025",203.92,,,,4
176742,176742,"October 13, 2025",0.75,,,,4
176744,176744,"October 7, 2025",36,,,,14
176746,176746,"October 07, 2025",279.98,,,,3
176747,176747,"October 08, 2025",183.96,,,,1
176748,176748,"October 7, 2025",1,,,,3
176749,176749,"October 09, 2025",1242.48,,,,2
176750,176750,"November 27, 2025",2409.19,,,,1
176751,176751,"October 9, 2025",3,,,,4
176753,176753,"October 22, 2025",5,,,,4
176754,176754,"October 7, 2025",5.75,,,,3
176755,176755,"October 7, 2025",3,,,,1
176756,176756,"October 07, 2025",358.56,,,,2
176757,176757,"October 09, 2025",297.96,,,,2
176759,176759,"October 6, 2025",62.42,,,,12
176760,176760,"October 7, 2025",7.5,,,,10
176761,176761,"October 7, 2025",1,,,,1
176762,176762,"October 7, 2025",8,,,,5
176763,176763,"October 7, 2025",2,,,,2
176764,176764,"October 07, 2025",506.17,,,,3
176765,176765,"October 20, 2025",3,,,,5
176766,176766,"October 7, 2025",15,,,,19
176767,176767,"October 7, 2025",4,,,,8
176770,176770,"October 07, 2025",308.04,,,,3
176771,176771,"October 7, 2025",5,,,,2
176772,176772,"October 7, 2025",1.08,,,,12
176774,176774,"October 6, 2025",6,,,,0
176775,176775,"October 09, 2025",911.76,,,,6
176777,176777,"October 7, 2025",11,,,,9
176778,176778,"October 10, 2025",307.92,,,,2
176779,176779,"October 07, 2025",423.9,,,,3
176780,176780,"October 7, 2025",2.25,,,,6
176781,176781,"October 7, 2025",4,,,,7
176783,176783,"October 7, 2025",1.58,,,,3
176784,176784,"October 07, 2025",295.92,,,,4
176785,176785,"October 08, 2025",371.76,,,,1
176786,176786,"October 08, 2025",1559.4,,,,13
176787,176787,"October 07, 2025",817.09,,,,10
176788,176788,"October 07, 2025",543.84,,,,3
176789,176789,"October 07, 2025",216,,,,1
176790,176790,"October 08, 2025",599.52,,,,2
176793,176793,"October 8, 2025",3,,,,1
176794,176794,"October 09, 2025",240.12,,,,2
176796,176796,"October 8, 2025",4,,,,5
176797,176797,"October 9, 2025",16,,,,18
176799,176799,"October 8, 2025",3,,,,4
176800,176800,"October 09, 2025",430.08,,,,3
176801,176801,"October 09, 2025",2790.24,,,,2
176803,176803,"October 8, 2025",11555.98,,,,4
176804,176804,"October 7, 2025",11,,,,2
176805,176805,"October 8, 2025",21811,,,,1
176806,176806,"October 15, 2025",13445.96,,,,4
176807,176807,"October 8, 2025",21811,,,,1
176808,176808,"October 8, 2025",6743.99,,,,4
176809,176809,"October 7, 2025",4,,,,1
176810,176810,"October 8, 2025",21811,,,,1
176811,176811,"October 8, 2025",28511,,,,1
176812,176812,"October 7, 2025",7,,,,1
176813,176813,"October 15, 2025",21811,,,,1
176814,176814,"October 8, 2025",4,,,,6
176815,176815,"October 15, 2025",8.83,,,,11
176816,176816,"October 8, 2025",1.75,,,,5
176817,176817,"October 8, 2025",4,,,,6
176818,176818,"October 7, 2025",2.5,,,,6
176819,176819,"October 7, 2025",3102.03,,,,8
176820,176820,"October 8, 2025",5,,,,4
